date,awayTeam,homeTeam,marketSpread,marketTotal,homeML,awayML,source
3/23/2026,OTT,NYR,1.5,5.5,160,-192,manual
3/24/2026,COL,PIT,1.5,6.5,135,-162,manual
3/24/2026,CHI,NYI,-1.5,5.5,-205,170,manual
3/24/2026,TOR,BOS,-1.5,6.5,-192,160,manual
3/24/2026,CAR,MTL,1.5,6.5,114,-135,manual
3/24/2026,SEA,FLA,-1.5,5.5,-135,114,manual
3/24/2026,CBJ,PHI,1.5,5.5,114,-135,manual
3/24/2026,OTT,DET,-1.5,6.5,-112,-108,manual
3/24/2026,MIN,TBL,-1.5,6.5,-170,142,manual
3/24/2026,NJD,DAL,-1.5,5.5,-175,145,manual
3/24/2026,VGK,WPG,1.5,5.5,110,-130,manual
3/24/2026,SJS,NSH,-1.5,6.5,-148,124,manual
3/24/2026,WSH,STL,1.5,5.5,-105,-115,manual
3/24/2026,LAK,CGY,1.5,5.5,124,-148,manual
3/24/2026,EDM,UTA,-1.5,6.5,-135,114,manual
3/24/2026,ANA,VAN,1.5,6.5,145,-175,manual
3/25/2026,BOS,BUF,-1.5,6.5,-205,170,manual
3/25/2026,NYR,TOR,1.5,6.5,102,-122,manual
3/26/2026,SEA,TBL,-1.5,6.5,-290,235,manual
3/26/2026,DAL,NYI,1.5,5.5,102,-122,manual
3/26/2026,MIN,FLA,1.5,6.5,120,-142,manual
3/26/2026,PIT,OTT,-1.5,6.5,-155,130,manual
3/26/2026,CHI,PHI,-1.5,5.5,-170,142,manual
3/26/2026,CBJ,MTL,-1.5,6.5,-122,102,manual
3/26/2026,COL,WPG,1.5,6.5,160,-192,manual
3/26/2026,SJS,STL,-1.5,6.5,-142,120,manual
3/26/2026,NJD,NSH,-1.5,6.5,-115,-105,manual
3/26/2026,ANA,CGY,1.5,6.5,120,-142,manual
3/26/2026,WSH,UTA,-1.5,6.5,-155,130,manual
3/26/2026,EDM,VGK,-1.5,6.5,-135,114,manual
3/26/2026,LAK,VAN,1.5,5.5,145,-175,manual
3/27/2026,DET,BUF,-1.5,5.5,-155,130,manual
3/27/2026,CHI,NYR,-1.5,6.5,-175,145,manual
3/28/2026,OTT,TBL,-1.5,6.5,-155,130,manual
3/28/2026,FLA,NYI,-1.5,5.5,-185,154,manual
3/28/2026,ANA,EDM,-1.5,6.5,-148,124,manual
3/28/2026,NJD,CAR,-1.5,6.5,-205,170,manual
3/28/2026,SJS,CBJ,-1.5,6.5,-205,170,manual
3/28/2026,DAL,PIT,1.5,6.5,110,-130,manual
3/28/2026,MIN,BOS,1.5,6.5,105,-125,manual
3/28/2026,SEA,BUF,-1.5,6.5,-198,164,manual
3/28/2026,WPG,COL,-1.5,6.5,-270,220,manual
3/28/2026,MTL,NSH,1.5,6.5,100,-120,manual
3/28/2026,TOR,STL,-1.5,5.5,-142,120,manual
3/28/2026,PHI,DET,-1.5,5.5,-142,120,manual
3/28/2026,UTA,LAK,-1.5,5.5,-115,-105,manual
3/28/2026,VAN,CGY,-1.5,5.5,-166,140,manual
3/28/2026,WSH,VGK,-1.5,5.5,-155,130,manual
3/29/2026,FLA,NYR,-1.5,5.5,-155,130,manual
3/29/2026,NSH,TBL,-1.5,6.5,-205,170,manual
3/29/2026,MTL,CAR,-1.5,6.5,-180,150,manual
3/29/2026,BOS,CBJ,-1.5,6.5,-155,130,manual
3/29/2026,DAL,PHI,1.5,5.5,130,-155,manual
3/29/2026,CHI,NJD,-1.5,5.5,-162,136,manual
3/30/2026,PIT,NYI,-1.5,6.5,-125,105,manual
3/30/2026,CGY,COL,-1.5,6.5,-355,280,manual
3/30/2026,VAN ,VGK,-1.5,6.5,-360,285,manual
3/30/2026,TOR,ANA,-1.5,6.5,-192,160,manual
3/30/2026,STL,SJS,-1.5,5.5,-110,-110,manual
3/31/2026,DAL,BOS,1.5,5.5,100,-120,manual
3/31/2026,NYI,BUF,-1.5,6.5,-198,164,manual
3/31/2026,MTL,TBL,-1.5,6.5,-170,142,manual
3/31/2026,OTT,FLA,1.5,5.5,142,-170,manual
3/31/2026,NJD,NYR,1.5,5.5,100,-120,manual
3/31/2026,DET,PIT,1.5,6.5,-105,-115,manual
3/31/2026,PHI,WSH,-1.5,5.5,-135,114,manual
3/31/2026,CAR,CBJ,1.5,6.5,120,-142,manual
3/31/2026,WPG,CHI,1.5,5.5,124,-148,manual
3/31/2026,SEA,EDM,-1.5,6.5,-185,154,manual
